shipment_id,origin,destination,status,timestamp
SH000001,"Brownmouth, ND","Holtmouth, WY",delivered,2024-08-26T15:07:41Z
SH000002,"Douglasfurt, VI","Josestad, NH",in-transit,2025-03-30T18:40:14Z
SH000003,"Gravesmouth, WY","Reidstad, AL",in-transit,2022-10-15T06:32:32Z
SH000004,"Bettyhaven, ND","East Madison, MI",cancelled,2025-11-21T07:23:10Z
SH000005,"West Michael, GA","Davidton, MN",delivered,2022-01-04T15:06:20Z
SH000006,"South Francis, AL","Lake David, NJ",pending,2025-09-02T07:52:38Z
SH000007,"Rachelbury, WA","Shellyshire, DC",in-transit,2025-10-15T00:10:26Z
SH000008,"New Stacyshire, OH","Goodmanborough, VI",delivered,2023-04-08T20:55:25Z
SH000009,"West Anthonyland, ND","Lanebury, PW",cancelled,2023-12-16T10:56:44Z
SH000010,"East Robertchester, WY","East Kylehaven, AR",in-transit,2025-06-09T06:43:29Z
SH000011,"Jonesberg, OR","Port Andrew, DC",pending,2022-06-19T12:56:12Z
SH000012,"Bryanton, AR","Jamiebury, WI",delivered,2025-12-27T17:46:38Z
SH000013,"New Briana, MH","South Michael, CT",cancelled,2023-11-02T19:25:30Z
SH000014,"Tannertown, PW","Reeveston, AL",in-transit,2023-10-21T07:39:09Z
SH000015,"Port Williambury, WY","East Brandonfort, NC",in-transit,2025-10-25T04:13:01Z
SH000016,"New Richard, GA","Kristinborough, PA",pending,2022-10-01T07:32:38Z
SH000017,"Stephenview, MT","East Destinybury, OH",in-transit,2023-07-28T02:41:13Z
SH000018,"North Kendra, GU","Lake Dianamouth, WV",in-transit,2022-09-18T00:06:17Z
SH000019,"West Carolyn, ME","Morrisbury, CT",cancelled,2022-08-17T13:09:59Z
SH000020,"Danielleland, WY","Port Eric, NH",pending,2024-11-07T06:35:36Z
SH000021,"North Erin, NH","Peterfort, VT",pending,2025-07-25T04:55:15Z
SH000022,"Port Lauraburgh, PA","Lake Jacobbury, KY",pending,2025-10-23T14:56:07Z
SH000023,"West Benjaminmouth, MS","Hernandezchester, OK",cancelled,2023-07-27T02:25:10Z
SH000024,"West Kimberlymouth, GU","West Alyssa, IN",delivered,2024-11-18T07:37:41Z
SH000025,"New Thomas, SD","Royburgh, SC",in-transit,2023-11-07T11:55:42Z
SH000026,"Josephmouth, IA","Mosleyside, AR",in-transit,2023-07-11T19:23:59Z
SH000027,"Greenstad, MN","Francesfort, NH",in-transit,2022-03-12T06:00:51Z
SH000028,"Lake Michael, OH","Michaelberg, PR",pending,2023-03-17T10:44:07Z
SH000029,"Lindseytown, MP","Leeland, MH",in-transit,2022-02-20T14:50:10Z
SH000030,"West Leemouth, PR","West Keith, OK",delivered,2024-01-21T20:40:22Z
SH000031,"West John, IA","Marshallmouth, MA",in-transit,2022-07-29T18:09:29Z
SH000032,"Port Justin, SD","West Jacob, NH",delivered,2023-08-12T16:29:00Z
SH000033,"Sheppardstad, AL","Michaelland, CA",pending,2025-10-27T22:57:30Z
SH000034,"West Scott, NJ","North Melanieside, NY",in-transit,2025-09-16T12:12:08Z
SH000035,"Andersonland, AZ","Lake Jacob, NY",in-transit,2022-08-21T19:17:11Z
SH000036,"East James, PW","Harrismouth, VA",delivered,2022-07-27T17:35:02Z
SH000037,"West Gary, CT","New Robert, ME",pending,2022-11-25T03:45:52Z
SH000038,"East Lisa, CO","Karenville, KS",delivered,2022-12-12T23:27:05Z
SH000039,"Port David, LA","South Erik, TX",in-transit,2022-02-05T09:17:52Z
SH000040,"Rogersville, MP","Tomborough, CO",cancelled,2024-06-08T07:26:58Z
SH000041,"North Crystalland, MH","Walkermouth, TX",delivered,2022-07-06T11:58:54Z
SH000042,"Tinahaven, WV","Julieton, IN",delivered,2025-08-06T10:29:13Z
SH000043,"Ryanborough, TN","Patrickborough, LA",cancelled,2024-10-02T01:03:43Z
SH000044,"East Timothy, IL","Lake Billy, NY",cancelled,2023-07-04T12:41:07Z
SH000045,"East Peter, KS","South Nichole, FL",in-transit,2025-04-13T02:13:13Z
SH000046,"Timothyshire, NH","Rebeccaport, WY",cancelled,2025-01-03T23:54:00Z
SH000047,"Avilamouth, ND","Sandovalton, GA",delivered,2024-01-21T07:08:26Z
SH000048,"Lake Brandon, WV","West Peter, MS",pending,2025-11-22T00:22:48Z
SH000049,"South Amber, MO","Hensleyshire, IL",cancelled,2022-08-13T23:37:37Z
SH000050,"New Megan, WV","East Jacobland, IL",delivered,2024-11-25T22:38:45Z
SH000051,"Goodwinhaven, MA","South Randystad, DE",cancelled,2024-01-28T19:02:54Z
SH000052,"Josephburgh, TN","Garciashire, ID",delivered,2023-12-10T06:29:59Z
SH000053,"Reginaldton, FL","Lake Felicia, MH",delivered,2024-06-02T05:49:33Z
SH000054,"New Rebeccafort, CT","West Jessicaberg, PR",delivered,2025-07-14T05:44:11Z
SH000055,"Davidhaven, PA","New Patriciaburgh, UT",cancelled,2024-02-14T07:46:11Z
SH000056,"Port Tylerside, AL","Derekville, UT",in-transit,2022-11-17T00:49:02Z
SH000057,"West James, MT","Stewartshire, ID",delivered,2023-10-20T04:33:48Z
SH000058,"Shaneview, CT","Oconnorstad, SC",in-transit,2024-10-13T16:34:18Z
SH000059,"Flemingview, AS","South Evelynburgh, CA",delivered,2023-12-29T22:37:59Z
SH000060,"Michaelmouth, FM","North Sophia, NM",in-transit,2025-11-20T18:05:46Z
SH000061,"West Amy, OR","Elizabethburgh, NV",pending,2023-01-11T06:06:05Z
SH000062,"Port Christinaberg, VI","East Phyllis, UT",cancelled,2022-06-12T23:00:42Z
SH000063,"Patriciachester, MH","Port Thomas, MH",pending,2024-07-05T14:49:18Z
SH000064,"Mcneilview, HI","Coxborough, MI",pending,2025-03-12T11:56:36Z
SH000065,"Colinside, IA","Port Lauraville, ME",cancelled,2023-04-10T02:52:35Z
SH000066,"Riveraview, NY","New Vincent, VT",in-transit,2025-08-07T08:54:38Z
SH000067,"Wrightville, MD","Joycefurt, AK",delivered,2023-04-24T17:24:09Z
SH000068,"Huffmanland, ID","Shannonborough, VI",cancelled,2025-05-03T08:32:50Z
SH000069,"Danielport, SD","Joannaton, CO",in-transit,2022-05-11T06:37:05Z
SH000070,"Stephanieshire, NH","Port Janet, AZ",in-transit,2023-02-17T09:27:41Z
SH000071,"Rodriguezborough, CT","East Tommy, NJ",delivered,2025-07-23T22:32:23Z
SH000072,"Summersbury, AR","East Ruth, WA",cancelled,2023-01-07T22:46:24Z
SH000073,"Williamstown, FM","Garyberg, WV",cancelled,2023-06-07T06:33:31Z
SH000074,"Lake Jermaineland, TX","Port Jamie, MI",cancelled,2025-04-09T04:42:23Z
SH000075,"New Travismouth, WV","Port Amber, OR",cancelled,2025-01-16T13:46:18Z
SH000076,"Eddieborough, KS","West Victorchester, WA",delivered,2025-07-20T14:59:56Z
SH000077,"West Robertbury, VT","Jasonstad, HI",in-transit,2025-05-21T10:26:15Z
SH000078,"South Zachary, FM","Hensleyberg, PW",pending,2024-07-14T03:02:15Z
SH000079,"West Robert, NE","New Danielview, OR",in-transit,2022-08-06T16:53:28Z
SH000080,"Michaelborough, SD","South Amystad, AL",delivered,2025-01-02T09:31:44Z
SH000081,"North Anthony, CT","Debrachester, NJ",delivered,2024-12-16T09:31:41Z
SH000082,"East Rebeccamouth, ND","North Samanthaburgh, NY",pending,2022-05-02T16:08:04Z
SH000083,"Robertchester, AS","South Karentown, LA",cancelled,2024-06-04T21:54:18Z
SH000084,"North Michael, MS","Kennethside, LA",in-transit,2023-12-07T05:03:47Z
SH000085,"Port Annashire, DC","New Maria, FL",pending,2024-08-18T08:58:56Z
SH000086,"Jamiefurt, HI","Jonathantown, WV",delivered,2025-04-04T16:17:19Z
SH000087,"West Cassandraton, FL","Port Peterchester, IN",pending,2024-09-24T14:28:47Z
SH000088,"East Michele, NV","East Monica, WI",in-transit,2024-03-14T09:47:27Z
SH000089,"Port Dale, LA","Eduardostad, ND",delivered,2022-02-27T17:33:30Z
SH000090,"Rodriguezland, CO","Lake Laurie, VT",in-transit,2022-06-22T12:53:06Z
SH000091,"South Dannychester, FL","North Andreachester, WY",delivered,2024-10-30T04:06:03Z
SH000092,"Perryberg, MO","North Debraside, WA",in-transit,2024-04-05T22:04:08Z
SH000093,"North James, WY","New Hannahport, LA",in-transit,2023-05-07T05:32:17Z
SH000094,"East Wendyberg, MN","South Dorothy, MS",delivered,2025-06-02T13:28:16Z
SH000095,"Garciahaven, NC","North Lindsay, TN",delivered,2022-08-03T14:43:04Z
SH000096,"Port Erinville, GA","Lake Gregoryborough, DC",cancelled,2024-03-08T18:02:38Z
SH000097,"East David, NJ","Jamesside, VI",in-transit,2024-11-14T10:15:13Z
SH000098,"Lindseytown, NM","Port Daniel, WY",delivered,2022-10-01T07:56:44Z
SH000099,"Lake Anita, DC","Angelaview, MH",pending,2023-08-15T06:42:12Z
SH000100,"Port James, CO","New Samanthaberg, FM",in-transit,2025-08-03T10:22:33Z
SH000101,"Port Rebecca, RI","North Michelle, MS",in-transit,2025-08-04T13:01:23Z
SH000102,"Oliverland, KS","South Kevinmouth, FL",delivered,2022-07-23T17:43:16Z
SH000103,"North Sandra, NC","Carmenburgh, MO",delivered,2024-10-20T16:31:48Z
SH000104,"North Stephaniestad, CA","South Chadtown, MO",pending,2024-10-20T23:26:49Z
SH000105,"Laneport, DC","New Michaelhaven, NY",in-transit,2024-12-04T13:27:49Z
SH000106,"Thomasburgh, WA","Sanchezview, PA",in-transit,2024-05-10T15:58:12Z
SH000107,"Lake Nancy, OH","Lake Antonio, PA",delivered,2024-06-03T11:25:11Z
SH000108,"Muellerland, NJ","North Carolyn, ME",delivered,2025-05-31T11:02:12Z
SH000109,"West Taylortown, AL","Nicoleburgh, PA",pending,2024-05-12T19:38:29Z
SH000110,"South Mary, MI","West Matthew, VI",delivered,2024-06-29T10:53:08Z
SH000111,"West Colleen, AL","New Tonyaland, MA",pending,2024-02-21T13:38:00Z
SH000112,"North Nathan, HI","Lake Erin, KS",cancelled,2024-07-25T06:10:53Z
SH000113,"Lake Nicholas, RI","Johnfort, FM",delivered,2022-01-09T16:44:06Z
SH000114,"Lewiston, NV","New Sharon, MT",cancelled,2023-03-09T21:14:52Z
SH000115,"Ronaldstad, NV","Collinmouth, PR",pending,2023-02-13T22:41:50Z
SH000116,"Lake Deborah, WA","Port Kayla, MP",in-transit,2023-02-11T18:57:03Z
SH000117,"Michaelfurt, GU","Shannonmouth, CO",cancelled,2022-05-27T12:46:39Z
SH000118,"Port Brendabury, RI","Scotthaven, KY",cancelled,2022-04-05T06:58:15Z
SH000119,"Jasonton, GA","Brianshire, ID",in-transit,2024-07-20T08:41:50Z
SH000120,"Perkinsville, WV","North Kim, CO",delivered,2025-04-06T09:20:57Z
SH000121,"North George, MA","New Christopherchester, OH",cancelled,2022-02-27T03:44:40Z
SH000122,"Angelaside, MD","Davidsonburgh, VT",cancelled,2023-09-27T05:41:00Z
SH000123,"Port Luisstad, DE","West Nancyfurt, NV",cancelled,2023-11-23T17:59:29Z
SH000124,"Trevorfurt, PW","Jameschester, AK",delivered,2023-08-22T05:32:16Z
SH000125,"Kellybury, LA","East Billyfort, AL",delivered,2023-02-12T03:52:17Z
SH000126,"Port Joseph, WA","East Matthewhaven, WV",pending,2025-03-07T13:10:01Z
SH000127,"New Charlesberg, LA","New Patricia, VT",in-transit,2022-08-05T07:20:41Z
SH000128,"Manntown, FM","Lopezhaven, PW",delivered,2025-10-11T01:39:39Z
SH000129,"Jackiestad, MT","Ernestmouth, IL",cancelled,2023-10-26T09:58:27Z
SH000130,"Port Ronaldburgh, NH","Margaretfort, MH",delivered,2023-08-26T11:58:37Z
SH000131,"Cynthiaton, NE","North Holly, NH",in-transit,2025-12-22T00:39:29Z
SH000132,"Sheilaberg, DC","Chaseview, MD",delivered,2024-07-07T08:24:17Z
SH000133,"West Jennifer, AS","Haysmouth, VT",cancelled,2024-06-14T07:59:40Z
SH000134,"North Jodi, AS","North Ashley, AZ",in-transit,2024-08-07T03:56:40Z
SH000135,"Jacobchester, DE","Mosleyberg, WI",pending,2022-02-21T08:06:30Z
SH000136,"South Ronald, VA","Morrisonport, MN",pending,2024-06-27T08:08:22Z
SH000137,"Davidshire, NH","East Joseph, AL",cancelled,2025-05-23T12:46:02Z
SH000138,"North Christopher, MN","North Jackson, WA",delivered,2023-06-16T23:28:30Z
SH000139,"Sarahborough, ME","Oliverberg, DC",delivered,2025-02-25T21:11:57Z
SH000140,"Lake Kathleenton, NV","Howardtown, ID",cancelled,2022-10-26T11:44:56Z
SH000141,"North Abigailville, WA","New James, PR",cancelled,2023-12-07T08:54:47Z
SH000142,"Fostertown, TX","Lake Erinbury, AZ",cancelled,2022-06-27T10:54:18Z
SH000143,"Danielstad, CT","Ericshire, MP",in-transit,2025-08-18T10:29:25Z
SH000144,"Garciaburgh, KY","West Nathanmouth, AZ",delivered,2025-03-06T13:54:10Z
SH000145,"West Raymond, WY","Lake Cameronshire, ID",in-transit,2023-09-30T10:47:34Z
SH000146,"East Scott, FM","Clarkbury, NY",delivered,2024-12-04T20:49:03Z
SH000147,"Port Carrieberg, AK","West Joel, ME",pending,2022-12-03T00:13:18Z
SH000148,"Alejandraborough, DC","North Loretta, FL",pending,2025-01-06T07:04:18Z
SH000149,"Wilkinsonshire, IN","East Christinaview, NC",in-transit,2025-08-03T16:32:50Z
SH000150,"Galvanhaven, AZ","West Alejandro, KS",delivered,2025-02-18T03:06:42Z
SH000151,"Martinezside, DC","West Valerie, SC",in-transit,2025-12-03T23:11:23Z
SH000152,"Loganview, VA","Port Alexanderchester, PA",delivered,2022-03-06T09:45:06Z
SH000153,"Michellefurt, DC","Davidview, OR",delivered,2022-01-12T18:32:40Z
SH000154,"Murrayshire, VT","South Franciscoland, OK",in-transit,2025-10-14T23:34:06Z
SH000155,"Lorimouth, ID","Michaelburgh, FM",pending,2023-12-18T07:25:02Z
SH000156,"Smithfort, SC","Justinfurt, DE",in-transit,2022-03-17T09:37:02Z
SH000157,"New Kathrynshire, RI","Valenzuelaberg, SD",pending,2022-06-21T12:52:17Z
SH000158,"Lake Roberttown, GU","Brownfurt, PW",pending,2023-06-29T10:06:47Z
SH000159,"West Emily, VI","Adamburgh, AZ",delivered,2022-09-24T04:44:32Z
SH000160,"Langmouth, MT","Port Virginia, MT",cancelled,2024-05-21T02:52:47Z
SH000161,"West Sierrachester, IA","Lake Kylie, OK",cancelled,2024-11-17T17:42:13Z
SH000162,"Harrisfurt, TX","West Christophershire, AS",cancelled,2023-03-18T00:20:25Z
SH000163,"Port Elizabethfurt, WI","West Steven, IN",pending,2022-11-17T11:42:55Z
SH000164,"Russellport, MT","Nicolestad, CT",pending,2023-05-31T18:35:15Z
SH000165,"West Shane, CT","Michellebury, VI",in-transit,2023-10-11T04:57:02Z
SH000166,"Lake Terryhaven, AZ","Port Jose, MN",pending,2024-08-31T21:19:23Z
SH000167,"Michaelborough, HI","Hahnshire, AL",in-transit,2024-12-29T08:05:56Z
SH000168,"Lewisstad, AR","Christopherchester, CT",cancelled,2025-02-20T00:47:21Z
SH000169,"East Kimberlyland, NV","North Kenneth, MI",pending,2025-09-30T12:32:31Z
SH000170,"Singhville, GU","Knighthaven, NE",in-transit,2023-03-05T18:51:00Z
SH000171,"West Karen, MN","Jonesfurt, CT",in-transit,2025-05-06T02:25:33Z
SH000172,"Lake Danielfort, MN","North Alexis, AS",pending,2024-06-21T17:27:09Z
SH000173,"Clarkchester, NV","Parkchester, VA",in-transit,2023-08-28T00:06:11Z
SH000174,"Adkinsport, AR","West Andrealand, VA",delivered,2022-08-30T23:04:18Z
SH000175,"Lake Austinfurt, NV","North Ashleybury, CT",in-transit,2022-08-01T15:11:22Z
SH000176,"Lake Raymondhaven, VA","Rogersmouth, PW",pending,2023-08-26T13:02:42Z
SH000177,"Sandramouth, WA","Port James, ND",pending,2022-05-14T12:17:41Z
SH000178,"Jeffreyhaven, NJ","East Oliviabury, LA",in-transit,2022-01-03T23:29:23Z
SH000179,"West Miguelchester, OK","Johnsonstad, LA",pending,2022-02-20T03:04:22Z
SH000180,"East Stephenburgh, SD","Davieschester, WV",pending,2022-09-28T01:11:02Z
SH000181,"Davidfurt, DE","Bellstad, NE",cancelled,2025-06-27T22:08:09Z
SH000182,"Martintown, ND","Lake Melissaport, PA",pending,2022-07-03T01:07:52Z
SH000183,"New Ericport, VT","East Allison, NJ",cancelled,2024-08-03T18:59:49Z
SH000184,"New Cassandrabury, PW","Zacharyton, PR",pending,2025-04-08T12:54:24Z
SH000185,"Katherinemouth, AZ","South Heather, NJ",in-transit,2022-02-20T11:32:07Z
SH000186,"Danielsshire, PA","South Dana, VA",delivered,2022-08-25T19:37:46Z
SH000187,"Berryland, AK","Robinsonport, ID",cancelled,2023-05-20T10:20:55Z
SH000188,"Laurashire, RI","Port Markfort, WI",cancelled,2023-04-09T21:11:30Z
SH000189,"Jonestown, NY","Sherryborough, CO",pending,2023-05-27T04:44:13Z
SH000190,"Lake Shannon, MO","East Teresa, IN",in-transit,2022-05-29T20:03:43Z
SH000191,"Newtonbury, IA","Quinnmouth, CO",in-transit,2025-11-17T02:17:17Z
SH000192,"North Ian, VA","West Elizabethport, AL",pending,2023-09-06T18:56:51Z
SH000193,"West Kristy, HI","Harmonside, NE",in-transit,2023-09-17T05:24:31Z
